2026-01-03 00:04:02.923 [INFO] [INFO] worker - info -  Starting worker with 3 threads | component=worker subcomponent=info service_name=worker environment=dev
2026-01-03 00:04:02.927 [INFO] [INFO] worker - info -  Redis: redis://localhost:6379 | component=worker subcomponent=info service_name=worker environment=dev
2026-01-03 00:04:02.933 [INFO] [INFO] worker - info -  Key prefix: deploy: | component=worker subcomponent=info service_name=worker environment=dev
2026-01-03 00:04:02.936 [INFO] [INFO] worker - info -  Tasks: ['deploy', 'rollback'] | component=worker subcomponent=info service_name=worker environment=dev
2026-01-03 00:04:02.940 [INFO] [INFO] worker - info -  Queue config initialized: redis=redis://localhost:6379, workers=3 | component=worker subcomponent=info service_name=worker environment=dev
2026-01-03 00:04:02.942 [INFO] [INFO] worker - info -  Queue config initialized: redis=redis://localhost:6379, key_prefix=deploy:, workers=3 | component=worker subcomponent=info service_name=worker environment=dev
2026-01-03 00:04:02.944 [INFO] [INFO] worker - info -  Worker starting... | component=worker subcomponent=info service_name=worker environment=dev
2026-01-03 00:04:02.946 [INFO] [INFO] worker - info -  Queue workers started | worker_count=3 component=worker subcomponent=info service_name=worker environment=dev
2026-01-03 00:04:02.949 [INFO] [INFO] worker - info -  Worker started, processing jobs... | component=worker subcomponent=info service_name=worker environment=dev
2026-01-03 00:04:02.950 [INFO] [INFO] worker - info -  Worker 0 started | worker_id=0 max_workers=3 component=worker subcomponent=info service_name=worker environment=dev
2026-01-03 00:04:07.050 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=0 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:04:07.050 [INFO] [INFO] worker - info -  Worker 1 started | worker_id=1 max_workers=3 component=worker subcomponent=info service_name=worker environment=dev
2026-01-03 00:04:11.116 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=1 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:04:11.130 [INFO] [INFO] worker - info -  Worker 2 started | worker_id=2 max_workers=3 component=worker subcomponent=info service_name=worker environment=dev
2026-01-03 00:04:15.220 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=2 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:04:19.802 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=0 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:04:23.873 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=1 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
